datetime,demand
2025-10-01 00:00:00,776.7823311531798
2025-10-01 01:00:00,834.7490660593485
2025-10-01 02:00:00,924.6208261710603
2025-10-01 03:00:00,1111.425202498864
2025-10-01 04:00:00,1243.0114674577217
2025-10-01 05:00:00,1164.563917870783
2025-10-01 06:00:00,1247.9890869534902
2025-10-01 07:00:00,1173.9913087846353
2025-10-01 08:00:00,1210.799578856352
2025-10-01 09:00:00,974.3512998115302
2025-10-01 10:00:00,1026.601883451104
2025-10-01 11:00:00,926.5185159024043
2025-10-01 12:00:00,705.2236099742787
2025-10-01 13:00:00,731.5284716445742
2025-10-01 14:00:00,594.4295719933601
2025-10-01 15:00:00,579.9109326258067
2025-10-01 16:00:00,420.58741404701044
2025-10-01 17:00:00,420.45864279129756
2025-10-01 18:00:00,366.12144819625644
2025-10-01 19:00:00,364.23974209918464
2025-10-01 20:00:00,430.8438078428956
2025-10-01 21:00:00,489.40226209410207
2025-10-01 22:00:00,588.4354488678415
2025-10-01 23:00:00,733.1262026570054
2025-10-02 00:00:00,727.7506903188765
2025-10-02 01:00:00,944.7964288171273
2025-10-02 02:00:00,1017.2254871049989
2025-10-02 03:00:00,1073.9302980116456
2025-10-02 04:00:00,1195.5028735567244
2025-10-02 05:00:00,1066.628345543621
2025-10-02 06:00:00,1101.4754889073238
2025-10-02 07:00:00,1128.394924949518
2025-10-02 08:00:00,1078.2583084095047
2025-10-02 09:00:00,1102.4202066321013
2025-10-02 10:00:00,929.1995012325858
2025-10-02 11:00:00,968.5046622839807
2025-10-02 12:00:00,856.3160803010619
2025-10-02 13:00:00,714.8440599559327
2025-10-02 14:00:00,637.1709292080994
2025-10-02 15:00:00,510.01369825290107
2025-10-02 16:00:00,422.24911875344776
2025-10-02 17:00:00,425.4288263198362
2025-10-02 18:00:00,383.16558499575007
2025-10-02 19:00:00,417.99437359719144
2025-10-02 20:00:00,475.2634127146425
2025-10-02 21:00:00,522.9683020931445
2025-10-02 22:00:00,616.1166440288602
2025-10-02 23:00:00,695.8092677113935
2025-10-03 00:00:00,856.8515812454322
2025-10-03 01:00:00,891.6726495841692
2025-10-03 02:00:00,986.7133326993229
2025-10-03 03:00:00,1031.6224560749376
2025-10-03 04:00:00,1170.634596127018
2025-10-03 05:00:00,1334.0310700795546
2025-10-03 06:00:00,1166.7659625467527
2025-10-03 07:00:00,1178.179563032494
2025-10-03 08:00:00,1197.8532117799894
2025-10-03 09:00:00,1150.106551586862
2025-10-03 10:00:00,978.143168194987
2025-10-03 11:00:00,902.5752557775643
2025-10-03 12:00:00,866.6084328213296
2025-10-03 13:00:00,742.229765220537
2025-10-03 14:00:00,591.2406170996705
2025-10-03 15:00:00,512.7169876773763
2025-10-03 16:00:00,410.91202669692484
2025-10-03 17:00:00,484.49140601473425
2025-10-03 18:00:00,413.50579856725494
2025-10-03 19:00:00,374.43685025294
2025-10-03 20:00:00,459.2093181786904
2025-10-03 21:00:00,524.0497547108528
2025-10-03 22:00:00,595.2657798277872
2025-10-03 23:00:00,683.5609078025317
2025-10-04 00:00:00,635.1896783565801
2025-10-04 01:00:00,785.6634000278119
2025-10-04 02:00:00,796.3585903216947
2025-10-04 03:00:00,952.6983226467817
2025-10-04 04:00:00,1015.4449697211858
2025-10-04 05:00:00,981.4641733587712
2025-10-04 06:00:00,1031.635777537007
2025-10-04 07:00:00,1001.1888066234308
2025-10-04 08:00:00,942.9164796480336
2025-10-04 09:00:00,991.4123153074047
2025-10-04 10:00:00,924.5925730595474
2025-10-04 11:00:00,736.3740116524564
2025-10-04 12:00:00,702.0999167259636
2025-10-04 13:00:00,541.1419850012794
2025-10-04 14:00:00,526.528855805983
2025-10-04 15:00:00,453.517839705853
